"LEAD_REFERENCE_NUMBER","CAMPAIGN_CODE","CIF","MARKETING_MESSAGE_LINE1","MARKETING_MESSAGE_LINE2","MARKETING_MESSAGE_LINE3","MARKETING_MESSAGE_LINE4","MARKETING_MESSAGE_LINE5","MARKETING_MESSAGE_LINE6","BRANCH_CODE","PERSONALIZED_MESSAGE","PRODUCT_OFFER","PROVINCE_CODE","REGION","CAMPAIGN_TYPE","LEAD_STATUS_CODE","OWNER_EMPLOYEE_ID","REFER_NAME","RESPONSE_DATE_TIME","RESPONSE_CODE"
"LMKM003970139","","16697456","","","","","","","711","","KMAXXXX","","50101","","1","011113545","","2018-01-07T19:55:45Z",""
"LMPA003970164","","1096156","","","","","","","719","","PACXXXX","","60201","","1","000405241","","2018-01-07T20:11:35Z",""
"LMPL004138553","","426817","","","","","","","221","","PLNXXXX","","60403","","1","000389551","","2018-05-14T09:00:03Z",""
"LMTD003969926","","3764395","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T15:10:46Z",""
"LMTD003970135","","16227230","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T19:55:10Z",""
"LMMM003970114","","376241","","","","","","","719","","MMAXSVG","","60201","","1","000405241","","2018-01-07T19:39:18Z",""
"LMTD003970125","","11181830","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T19:52:20Z",""
"LMKM003970136","","5060225","","","","","","","711","","KMAXXXX","","50101","","1","011113545","","2018-01-07T19:55:13Z",""
"LMTD003970138","","18101296","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T19:55:38Z",""
"LMAY004166681","","187209","","","","","","","719","","AYFDLMF","","60201","","1","000234419","","2018-06-03T09:45:25Z",""
"LMSV003969928","","9862926","","","","","","","688","","SVGXXXX","","50101","","1","000298216","","2018-01-07T15:11:13Z",""
"LMPA003970115","","18222048","","","","","","","719","","PACXXXX","","60201","","1","000405241","","2018-01-07T19:43:00Z",""
"LMTD003970128","","12137709","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T19:53:18Z",""
"LMTD003970132","","13197116","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T19:54:15Z",""
"LMSV003970140","","19484258","","","","","","","688","","SVGXXXX","","50101","","1","000298216","","2018-01-07T19:56:06Z",""
"LMKM003970144","","15510389","","","","","","","711","","KMAXXXX","","50101","","1","011113545","","2018-01-07T19:57:06Z",""
"LMKM003970146","","11077581","","","","","","","711","","KMAXXXX","","50101","","1","011113545","","2018-01-07T19:57:36Z",""
"LMTD003969924","","3481022","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T15:10:16Z",""
"LMTD003970130","","12223910","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T19:53:46Z",""
"LMTD003970149","","21500095","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T19:58:12Z",""
"LMMM003970117","","3283133","","","","","","","719","","MMAXSVG","","60201","","1","000405241","","2018-01-07T19:45:09Z",""
