,LEAD_REFERENCE_NUMBER,CAMPAIGN_CODE,CIF,MARKETING_MESSAGE_LINE1,MARKETING_MESSAGE_LINE2,MARKETING_MESSAGE_LINE3,MARKETING_MESSAGE_LINE4,MARKETING_MESSAGE_LINE5,MARKETING_MESSAGE_LINE6,BRANCH_CODE,PERSONALIZED_MESSAGE,PRODUCT_OFFER,PROVINCE_CODE,REGION,CAMPAIGN_TYPE,LEAD_STATUS_CODE,OWNER_EMPLOYEE_ID,REFER_NAME,RESPONSE_DATE_TIME,RESPONSE_CODE
147,LMPA003972147,,7901684,,,,,,,262,,PAPMPLS,,50303,,1,191940,,2018-01-09T12:47:00Z,
209,LMMT003975998,,3712345,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-01-11T16:57:34Z,
278,LMMT003971508,,11186519,,,,,,,493,,MTFLTFX,,50303,,1,140301,,2018-01-08T18:41:58Z,
292,LMMT003971518,,12865526,,,,,,,493,,MTFLTFX,,50303,,1,140301,,2018-01-08T18:44:41Z,
368,LMAY003978731,,4318332,,,,,,,599,,AYFDLMF,,60501,,1,262147,,2018-01-13T17:39:57Z,
434,LMPL004066977,,100000000040002,,,,,,,515,,PLNXXXX,,60501,,1,351726,,2018-03-21T09:41:02Z,
457,LMAY004006915,,12504883,,,,,,,361,,AYFDLMF,,50303,,1,11094208,,2018-02-06T17:20:23Z,
465,LMAY004015565,,5221298,,,,,,,599,,AYFDLMF,,60501,,1,262147,,2018-02-13T14:14:08Z,
626,LMAY003979096,,15492192,,,,,,,599,,AYF7LMF,,60501,,1,262147,,2018-01-14T17:53:37Z,
632,LMAY003979546,,18583955,,,,,,,687,,AYFELMF,,50303,,1,171306,,2018-01-15T11:12:16Z,
835,LMAY004007004,,3751233,,,,,,,14,,AYFSDIV,,50303,,1,131722,,2018-02-06T17:38:35Z,
1359,LMMT003985708,,3721173,,,,,,,474,,MTFOTFD,,50303,,1,315713,,2018-01-17T19:32:24Z,
1370,LMAY004008426,,12221215,,,,,,,615,,AYFDLMF,,50303,,1,164756,,2018-02-07T17:30:21Z,
1423,LMAY004010283,,3978121,,,,,,,769,,AYFPLUS,,50303,,1,11030939,,2018-02-08T20:03:15Z,
1435,LMAY004006672,,7913217,,,,,,,361,,AYFDLMF,,50303,,1,11094208,,2018-02-06T16:24:36Z,
1448,LMAY004012207,,382824,,,,,,,599,,AYFSEQX,,60501,,1,262147,,2018-02-10T13:01:12Z,
1484,LMAY004012119,,3699068,,,,,,,449,lm,AYFTRMF,,50303,,1,147546,,2018-02-10T12:14:40Z,
1518,LMAY004010301,,141632,,,,,,,449,,AYFDRMF,,50303,,1,147546,,2018-02-08T20:43:28Z,
1558,LMAY004008558,,8701372,,,,,,,449,,AYFDRMF,,50303,,1,147546,,2018-02-07T18:23:11Z,
1723,LMMT004090070,,13856224,,,,,,,474,,MTFOTFD,,50303,,1,315713,,2018-04-10T14:08:22Z,
1778,LMMT004099147,,5244782,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-04-14T18:34:39Z,
1805,LMMT004099223,,17640706,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-04-14T19:36:13Z,
1861,LMAY004010227,,3935296,,,,,,,34,,AYFPLUS,,50303,,1,56689,,2018-02-08T19:01:43Z,
1872,LMAY004091592,,3746944,,,,,,,493,,AYFDLMF,,50303,,1,140301,,2018-04-10T20:15:11Z,
1893,LMPA004012137,,3675320,,,,,,,449,lm,PAPMPLS,,50303,,1,147546,,2018-02-10T12:25:08Z,
1922,LMMT004016787,,18823448,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-02-13T18:41:54Z,
1924,LMMT004016810,,12412928,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-02-13T18:48:12Z,
1959,LMAY004015265,,4324416,,,,,,,599,,AYFSRMF,,60501,,1,262147,,2018-02-13T12:26:22Z,
2013,LMAY004013829,,15168578,,,,,,,783,,AYFSDIV,,60501,,1,310227,,2018-02-12T16:10:39Z,
2033,LMAY004011646,,4242401,,,,,,,687,,AYFPLUS,,50303,,1,171306,,2018-02-09T17:42:48Z,
2083,LMAY004011626,,10221192,,,,,,,687,,AYFPLUS,,50303,,1,171306,,2018-02-09T17:34:53Z,
2135,LMAY004090303,,6700141,,,,,,,515,,AYFSLMF,,60501,,1,11021847,,2018-04-10T15:03:27Z,
2199,LMAY004091584,,11186519,,,,,,,493,,AYFDLMF,,50303,,1,140301,,2018-04-10T20:04:48Z,
2203,LMMT004091327,,1110700,,,,,,,143,,MTFLTFX,,50303,,1,91637,,2018-04-10T18:24:13Z,
2228,LMPA004098279,,4087985,,,,,,,34,,PAPMPLS,,50303,,1,208272,,2018-04-12T17:46:14Z,
2301,LMMT004108988,,21624827,,,,,,,474,,MTFOTFD,,50303,,1,315713,,2018-04-20T12:42:26Z,
2342,LMAY004096057,,16235132,,,,,,,361,,AYF7LMF,,50303,,1,11094208,,2018-04-12T13:10:06Z,
2429,LMPA004012444,,5767707,,,,,,,493,,PAPMPLS,,50303,,1,140301,,2018-02-10T16:10:48Z,
2434,LMMT004012182,,10620584,,,,,,,493,,MTFLTFX,,50303,,1,140301,,2018-02-10T12:46:54Z,
2453,LMMT004099144,,4375350,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-04-14T18:32:50Z,
2477,LMMG004011492,,900012859,,,,,,,14,,MGLXXXX,,50303,,1,296533,,2018-02-09T16:52:46Z,
2523,LMPR004011005,,19881046,,,,,,,687,,PRNSCHN,,50303,,1,311894,,2018-02-09T14:22:17Z,
2529,LMAY004011676,,16699026,,,,,,,361,,AYFDLMF,,50303,,1,11094208,,2018-02-09T17:49:34Z,
2604,LMMT004099131,,4288848,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-04-14T18:26:49Z,
2614,LMMT004099146,,4792074,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-04-14T18:33:49Z,
2650,LMAY004099084,,182318,,,,,,,599,,AYFDLMF,,60501,,1,262147,,2018-04-14T18:01:42Z,
2669,LMMT004099231,,19834096,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-04-14T19:44:46Z,
2707,LMAY004099105,,752900,,,,,,,599,,AYFDLMF,,60501,,1,262147,,2018-04-14T18:15:31Z,
2741,LMMT004099217,,16482016,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-04-14T19:30:03Z,
2900,LMAY004011617,,4026949,,,,,,,687,,AYFELMF,,50303,,1,171306,,2018-02-09T17:31:35Z,
2917,LMAY004105949,,12105320,,,,,,,615,,AYFDLMF,,50303,,1,185553,,2018-04-18T17:40:18Z,
3048,LMAY004104629,,3238906,,,,,,,615,,AYFSLMF,,50303,,1,185553,,2018-04-18T12:13:11Z,
3072,LMPM004105297,,4653400,,,,,,,262,,PMVLTFX,,50303,,1,280248,,2018-04-18T15:30:54Z,
3091,LMAY004107164,,583558,,,,,,,86,,AYF7LMF,,60501,,1,224832,,2018-04-19T13:04:35Z,
3362,LMAY004014949,,12237313,,,,,,,493,,AYF7LMF,,50303,,1,11076031,,2018-02-13T10:07:50Z,
